Date,Away_Team,Home_Team,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Away_Spread,Pinnacle_Home_Spread,Pinnacle_Total_Line,Actual_Away_Score,Actual_Home_Score
2026-09-20,CAR,ATL,-143,127,-2.5,2.5,43.5,,
2026-09-20,NO,BAL,344,-431,9.0,-9.0,45.5,,
2026-09-20,MIN,CHI,185,-213,4.5,-4.5,48.5,,
2026-09-20,CIN,HOU,131,-148,3.0,-3.0,45.5,,
2026-09-20,CLE,TB,308,-379,9.0,-9.0,42.0,,
2026-09-20,GB,NYJ,-171,150,-3.0,3.0,45.0,,
2026-09-20,PIT,NE,213,-249,5.5,-5.5,42.0,,
2026-09-20,PHI,TEN,-315,262,-7.5,7.5,40.0,,
2026-09-20,JAX,DEN,132,-150,2.5,-2.5,45.5,,
2026-09-20,LV,LAC,254,-305,6.5,-6.5,43.0,,
2026-09-20,SEA,ARI,-193,169,-4.0,4.0,41.5,,
2026-09-20,WAS,DAL,177,-204,4.0,-4.0,51.0,,
2026-09-20,MIA,SF,694,-1032,13.5,-13.5,45.5,,
2026-09-20,IND,KC,227,-269,6.0,-6.0,47.0,,
2026-09-09,NE,SEA,140.0,-166.0,-3.0,3.0,44.5,10.0,13.0
2026-09-10,SF,LAR,180.0,-218.0,-3.5,3.5,47.5,27.0,7.0
2026-09-13,CHI,CAR,-166.0,140.0,3.0,-3.0,47.5,59.0,37.0
2026-09-13,TB,CIN,170.0,-205.0,-3.5,3.5,50.5,27.0,33.0
2026-09-13,NO,DET,260.0,-325.0,-7.0,7.0,49.5,30.0,31.0
2026-09-13,BUF,HOU,-112.0,-108.0,1.5,-1.5,44.5,36.0,31.0
2026-09-13,BAL,IND,-162.0,136.0,3.0,-3.0,48.5,41.0,23.0
2026-09-13,CLE,JAX,360.0,-470.0,-8.5,8.5,40.5,10.0,34.0
2026-09-13,ATL,PIT,240.0,-298.0,-6.5,6.5,40.5,13.0,20.0
2026-09-13,NYJ,TEN,-102.0,-118.0,-1.5,1.5,39.5,23.0,10.0
2026-09-13,ARI,LAC,350.0,-455.0,-8.5,8.5,47.5,26.0,14.0
2026-09-13,MIA,LV,142.0,-170.0,-3.0,3.0,40.5,13.0,27.0
2026-09-13,GB,MIN,105.0,-125.0,-1.5,1.5,46.5,22.0,39.0
2026-09-13,WAS,PHI,200.0,-245.0,-6.0,6.0,43.5,22.0,24.0
2026-09-13,DAL,NYG,-166.0,140.0,3.0,-3.0,47.5,20.0,28.0
2026-09-14,DEN,KC,110.0,-130.0,-2.5,2.5,42.5,10.0,31.0
