Date,Away_Team,Home_Team,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Away_Spread,Pinnacle_Home_Spread,Pinnacle_Total_Line,Actual_Away_Score,Actual_Home_Score
2026-09-20,CAR,ATL,-145,128,-2.5,2.5,44.0,N/A,N/A
2026-09-20,NO,BAL,323,-401,9.0,-9.0,46.5,N/A,N/A
2026-09-20,MIN,CHI,186,-215,5.5,-5.5,48.5,N/A,N/A
2026-09-20,CIN,HOU,132,-149,3.0,-3.0,46.5,N/A,N/A
2026-09-20,CLE,TB,327,-407,9.0,-9.0,42.0,N/A,N/A
2026-09-20,GB,NYJ,-169,149,-3.0,3.0,45.0,N/A,N/A
2026-09-20,PIT,NE,203,-237,5.5,-5.5,42.0,N/A,N/A
2026-09-20,PHI,TEN,-331,274,-7.5,7.5,40.0,N/A,N/A
2026-09-20,JAX,DEN,135,-153,2.5,-2.5,45.5,N/A,N/A
2026-09-20,LV,LAC,246,-293,6.5,-6.5,44.0,N/A,N/A
2026-09-20,SEA,ARI,-198,172,-4.0,4.0,41.5,N/A,N/A
2026-09-20,WAS,DAL,175,-202,4.0,-4.0,50.0,N/A,N/A
2026-09-20,MIA,SF,681,-1008,13.5,-13.5,45.5,N/A,N/A
2026-09-20,IND,KC,240,-285,7.0,-7.0,47.0,N/A,N/A
